Category1,Current_m1,Current_m2,Current_m3,Current_m4,Current_m5,Current_m6,Current_m7,Current_m8,Current_m9,Current_m10,Current_m11,Current_m12,ShiftedWinter_m1,ShiftedWinter_m2,ShiftedWinter_m3,ShiftedWinter_m4,ShiftedWinter_m5,ShiftedWinter_m6,ShiftedWinter_m7,ShiftedWinter_m8,ShiftedWinter_m9,ShiftedWinter_m10,ShiftedWinter_m11,ShiftedWinter_m12,ShiftedSummer_m1,ShiftedSummer_m2,ShiftedSummer_m3,ShiftedSummer_m4,ShiftedSummer_m5,ShiftedSummer_m6,ShiftedSummer_m7,ShiftedSummer_m8,ShiftedSummer_m9,ShiftedSummer_m10,ShiftedSummer_m11,ShiftedSummer_m12
MS1_bs_1542_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.102,1.102,1.102,0.7,0.7,0.7,0.7,0.7,0.7,1.102,1.102,1.102,0.898,0.898,0.898,1.3,1.3,1.3,1.3,1.3,1.3,0.898,0.898,0.898
MS1_bs_1547_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.275,1.275,1.275,0.7,0.7,0.7,0.7,0.7,0.7,1.275,1.275,1.275,0.725,0.725,0.725,1.3,1.3,1.3,1.3,1.3,1.3,0.725,0.725,0.725
MS1_bs_1548_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1.3,1.3,0.7,0.7,0.7,0.7,0.7,0.7,1.3,1.3,1.3,0.7,0.7,0.7,1.3,1.3,1.3,1.3,1.3,1.3,0.7,0.7,0.7
MS1_bs_1551_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.364,1.364,1.364,0.7,0.7,0.7,0.7,0.7,0.7,1.364,1.364,1.364,0.636,0.636,0.636,1.3,1.3,1.3,1.3,1.3,1.3,0.636,0.636,0.636
MS1_bs_1569_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.118,1.118,1.118,0.7,0.7,0.7,0.7,0.7,0.7,1.118,1.118,1.118,0.882,0.882,0.882,1.3,1.3,1.3,1.3,1.3,1.3,0.882,0.882,0.882
MS1_bs_1571_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.246,1.246,1.246,0.7,0.7,0.7,0.7,0.7,0.7,1.246,1.246,1.246,0.754,0.754,0.754,1.3,1.3,1.3,1.3,1.3,1.3,0.754,0.754,0.754
MS1_bs_1575_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.26,1.26,1.26,0.7,0.7,0.7,0.7,0.7,0.7,1.26,1.26,1.26,0.74,0.74,0.74,1.3,1.3,1.3,1.3,1.3,1.3,0.74,0.74,0.74
MS1_bs_1581_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.263,1.263,1.263,0.7,0.7,0.7,0.7,0.7,0.7,1.263,1.263,1.263,0.737,0.737,0.737,1.3,1.3,1.3,1.3,1.3,1.3,0.737,0.737,0.737
MS1_bs_1590_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.32,1.32,1.32,0.7,0.7,0.7,0.7,0.7,0.7,1.32,1.32,1.32,0.68,0.68,0.68,1.3,1.3,1.3,1.3,1.3,1.3,0.68,0.68,0.68
MS1_bs_1612_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.256,1.256,1.256,0.7,0.7,0.7,0.7,0.7,0.7,1.256,1.256,1.256,0.744,0.744,0.744,1.3,1.3,1.3,1.3,1.3,1.3,0.744,0.744,0.744
MS1_bs_1622_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.276,1.276,1.276,0.7,0.7,0.7,0.7,0.7,0.7,1.276,1.276,1.276,0.724,0.724,0.724,1.3,1.3,1.3,1.3,1.3,1.3,0.724,0.724,0.724
MS1_bs_1624_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.257,1.257,1.257,0.7,0.7,0.7,0.7,0.7,0.7,1.257,1.257,1.257,0.743,0.743,0.743,1.3,1.3,1.3,1.3,1.3,1.3,0.743,0.743,0.743
